year,ncessch,ncessch_num,grade,race,sex,enrollment,fips,leaid
2021,010111000404,10111000404,-1,99,99,26.0,1,0101110
2021,010111000407,10111000407,-1,99,99,0.0,1,0101110
2021,010111000409,10111000409,-1,99,99,32.0,1,0101110
2021,010111001785,10111001785,-1,99,99,20.0,1,0101110
2021,010114000411,10114000411,-1,99,99,18.0,1,0101140
2021,010114000412,10114000412,-1,99,99,1.0,1,0101140
2021,010114000415,10114000415,-1,99,99,42.0,1,0101140
2021,010114000416,10114000416,-1,99,99,19.0,1,0101140
2021,010114000418,10114000418,-1,99,99,12.0,1,0101140
2021,010114000419,10114000419,-1,99,99,18.0,1,0101140
2021,010114000422,10114000422,-1,99,99,50.0,1,0101140
2021,010114000423,10114000423,-1,99,99,12.0,1,0101140
2021,010114000424,10114000424,-1,99,99,15.0,1,0101140
2021,010114000425,10114000425,-1,99,99,15.0,1,0101140
2021,010114002357,10114002357,-1,99,99,36.0,1,0101140
2021,010117000427,10117000427,-1,99,99,25.0,1,0101170
2021,010117000430,10117000430,-1,99,99,38.0,1,0101170
2021,010117000432,10117000432,-1,99,99,18.0,1,0101170
2021,010117000434,10117000434,-1,99,99,65.0,1,0101170
2021,010117000435,10117000435,-1,99,99,15.0,1,0101170
2021,010117000437,10117000437,-1,99,99,17.0,1,0101170
2021,010117000438,10117000438,-1,99,99,31.0,1,0101170
2021,010117001615,10117001615,-1,99,99,37.0,1,0101170
2021,010117001728,10117001728,-1,99,99,19.0,1,0101170
2021,010117001786,10117001786,-1,99,99,34.0,1,0101170
2021,010120000442,10120000442,-1,99,99,79.0,1,0101200
2021,010123002482,10123002482,-1,99,99,179.0,1,0101230
2021,010126000460,10126000460,-1,99,99,38.0,1,0101260
2021,010129000468,10129000468,-1,99,99,64.0,1,0101290
2021,010129000470,10129000470,-1,99,99,73.0,1,0101290
2021,010129000471,10129000471,-1,99,99,64.0,1,0101290
2021,010129000833,10129000833,-1,99,99,66.0,1,0101290
2021,010129001768,10129001768,-1,99,99,72.0,1,0101290
2021,010129001769,10129001769,-1,99,99,89.0,1,0101290
2021,010132001867,10132001867,-1,99,99,127.0,1,0101320
2021,010135000488,10135000488,-1,99,99,3.0,1,0101350
2021,010135001504,10135001504,-1,99,99,22.0,1,0101350
2021,010135001505,10135001505,-1,99,99,38.0,1,0101350
2021,010135001661,10135001661,-1,99,99,41.0,1,0101350
2021,010138000493,10138000493,-1,99,99,19.0,1,0101380
2021,010138000494,10138000494,-1,99,99,16.0,1,0101380
2021,010138000497,10138000497,-1,99,99,18.0,1,0101380
2021,010138000499,10138000499,-1,99,99,26.0,1,0101380
2021,010138000501,10138000501,-1,99,99,18.0,1,0101380
2021,010138000502,10138000502,-1,99,99,18.0,1,0101380
2021,010138000503,10138000503,-1,99,99,32.0,1,0101380
2021,010138000506,10138000506,-1,99,99,0.0,1,0101380
2021,010138000508,10138000508,-1,99,99,18.0,1,0101380
2021,010138000509,10138000509,-1,99,99,28.0,1,0101380
2021,010138000845,10138000845,-1,99,99,17.0,1,0101380
2021,010138001509,10138001509,-1,99,99,31.0,1,0101380
2021,010138002453,10138002453,-1,99,99,13.0,1,0101380
2021,010141000514,10141000514,-1,99,99,117.0,1,0101410
2021,010144000519,10144000519,-1,99,99,0.0,1,0101440
2021,010147000525,10147000525,-1,99,99,18.0,1,0101470
2021,010147001512,10147001512,-1,99,99,17.0,1,0101470
2021,010147001514,10147001514,-1,99,99,19.0,1,0101470
2021,010153000532,10153000532,-1,99,99,0.0,1,0101530
2021,010153000534,10153000534,-1,99,99,0.0,1,0101530
2021,010153000535,10153000535,-1,99,99,0.0,1,0101530
2021,010153002474,10153002474,-1,99,99,18.0,1,0101530
2021,010156000539,10156000539,-1,99,99,0.0,1,0101560
